epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1838,1.66925,4.9429,1.35943,0.00316,0.94915,0.00615,0.00335,1.23389,4.22886,0.94861,0.00016,0.00016,0.00016
2,90.7054,1.19325,2.50528,0.93763,0.00328,0.98305,0.0081,0.00497,0.99607,3.91943,0.87832,0.00032878,0.00032878,0.00032878
3,130.678,1.0913,1.76924,0.96985,0.00322,0.9661,0.0072,0.00439,0.91169,3.95284,0.89535,0.00048568,0.00048568,0.00048568
4,170.549,1.07647,1.51054,0.96776,0.00316,0.94915,0.00491,0.00246,0.89686,3.85828,0.91973,0.0006307,0.0006307,0.0006307
5,210.254,1.13206,1.52643,0.9718,0.00243,0.72881,0.00266,0.00163,0.90602,3.77063,0.94286,0.00076384,0.00076384,0.00076384
6,250.009,1.0969,1.44724,0.99158,0.00322,0.9661,0.24829,0.18631,0.90723,3.37942,0.94132,0.0008851,0.0008851,0.0008851
7,289.629,1.02268,1.39075,0.93479,0.00328,0.98305,0.44875,0.31674,0.99713,3.28948,0.96795,0.00099448,0.00099448,0.00099448
8,330.557,1.04505,1.32586,0.98089,1,0.05558,0.65233,0.47299,0.90481,3.05291,0.97382,0.00109198,0.00109198,0.00109198
9,370.951,1.03371,1.24368,0.93656,1,0.33353,0.98641,0.69583,1.0005,2.52594,0.96616,0.0011776,0.0011776,0.0011776
10,410.45,1.03962,1.21874,0.95741,1,0.73333,0.98876,0.71514,0.95221,2.23996,0.94418,0.00125134,0.00125134,0.00125134
11,450.166,1.071,1.23693,0.95956,1,0.85319,0.98586,0.73966,0.9614,2.04842,0.96174,0.0013132,0.0013132,0.0013132
12,489.468,1.05101,1.16123,0.93556,1,0.97819,0.99483,0.71634,0.99834,1.54481,0.95402,0.001274,0.001274,0.001274
13,532.847,0.94457,1.06146,0.91124,1,0.97711,0.995,0.77604,0.83453,1.58103,0.93205,0.001208,0.001208,0.001208
14,573.903,0.93865,1.07109,0.93767,1,0.97944,0.99483,0.76119,0.91533,1.31129,0.94405,0.001142,0.001142,0.001142
15,615.694,0.97194,1.02575,0.93332,0.98325,0.99513,0.9945,0.7732,0.85399,1.13842,0.94032,0.001076,0.001076,0.001076
16,656.775,1.00109,1.05936,0.91536,0.98301,0.98095,0.99403,0.77344,0.832,1.04301,0.93881,0.00101,0.00101,0.00101
17,697.923,0.95108,0.98457,0.91264,0.99753,0.9661,0.99334,0.72683,0.96215,0.98388,0.92967,0.000944,0.000944,0.000944
18,738.489,0.95483,0.95132,0.90721,0.98328,0.99666,0.9945,0.76452,0.84776,0.93047,0.90394,0.000878,0.000878,0.000878
19,779.538,0.8793,0.91365,0.88743,0.97884,1,0.9945,0.78819,0.80608,0.94477,0.9081,0.000812,0.000812,0.000812
20,821.16,0.9402,0.92329,0.90737,1,0.99499,0.995,0.78592,0.79712,0.79949,0.90126,0.000746,0.000746,0.000746
21,861.399,0.86964,1.05165,0.92074,1,0.98128,0.99483,0.7747,0.84097,0.89163,0.91973,0.00068,0.00068,0.00068
22,901.801,0.87934,1.1028,0.94689,1,0.98062,0.99467,0.79415,0.80716,0.89491,0.90327,0.000614,0.000614,0.000614
23,942.339,0.81726,1.04288,0.91991,1,0.9917,0.995,0.80849,0.80652,0.78287,0.90051,0.000548,0.000548,0.000548
24,983.122,0.82452,0.97241,0.92758,1,0.99532,0.995,0.79068,0.81958,0.8382,0.90308,0.000482,0.000482,0.000482
25,1023.5,0.81094,0.98083,0.89264,0.99895,1,0.995,0.79161,0.83976,0.824,0.90099,0.000416,0.000416,0.000416
26,1063.84,0.79323,0.93687,0.8757,0.99324,1,0.995,0.79392,0.81651,0.78712,0.89563,0.00035,0.00035,0.00035
27,1104.82,0.77281,0.90369,0.91343,0.99611,1,0.995,0.79759,0.78529,0.77181,0.89304,0.000284,0.000284,0.000284
28,1145.58,0.74112,0.88609,0.881,0.99828,1,0.995,0.80828,0.79042,0.74606,0.9024,0.000218,0.000218,0.000218
29,1186.04,0.76816,0.88814,0.90266,0.99894,1,0.995,0.80578,0.7852,0.72465,0.89703,0.000152,0.000152,0.000152
30,1226.63,0.76763,0.8825,0.89892,0.99922,1,0.995,0.80859,0.77732,0.71216,0.89204,8.6e-05,8.6e-05,8.6e-05
