epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.676,2.14755,5.88271,1.63633,0.00017,0.05128,9e-05,1e-05,1.58598,4.93829,1.49894,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,282.722,1.4515,4.73967,1.14945,0.00103,0.30769,0.00068,0.00028,1.15879,4.40023,1.08539,0.00226278,0.00075426,0.00226278,0.00075426,0.00226278,0.00075426,0.00226278,0.00075426
3,380.275,1.23601,4.05718,1.00683,0.00291,0.87179,0.00536,0.00283,0.97694,3.89804,0.95643,0.00330636,0.00110212,0.00330636,0.00110212,0.00330636,0.00110212,0.00330636,0.00110212
4,460.355,1.17054,2.79612,0.98895,1,0.80344,0.96841,0.62699,1.13481,2.82287,1.08088,0.00427074,0.00142358,0.00427074,0.00142358,0.00427074,0.00142358,0.00427074,0.00142358
5,540.838,1.15553,2.0452,0.99234,1,0.94375,0.99119,0.69932,1.02525,1.88125,1.06686,0.00515592,0.00171864,0.00515592,0.00171864,0.00515592,0.00171864,0.00515592,0.00171864
6,612.475,1.08877,1.96314,0.98051,1,0.94871,0.99326,0.67855,1.07591,1.93345,1.03433,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,692.732,1.13272,1.82696,0.96016,1,0.99391,0.995,0.73686,0.93967,1.88738,1.0052,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,765.04,1.11617,1.78378,0.94918,0.97147,0.97436,0.98223,0.70433,0.95535,1.68806,1.01054,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,846.347,1.0085,1.65069,0.93344,0.97487,0.9949,0.98675,0.70607,0.98507,1.5421,0.98646,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,917.716,1.02797,1.58421,0.92696,0.97359,1,0.98675,0.75262,0.90302,1.43465,0.96715,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,997.815,0.96512,1.50722,0.92426,0.99812,1,0.995,0.75223,0.89838,1.37302,0.96244,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,1068.87,0.98106,1.49938,0.90389,0.99645,1,0.995,0.75152,0.87129,1.34037,0.94671,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,1150.96,0.95704,1.42218,0.92572,0.99799,1,0.995,0.75545,0.87211,1.27071,0.96123,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,1224.73,0.95971,1.36611,0.90395,0.998,1,0.995,0.73643,0.88516,1.29266,0.96087,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,1306.87,0.97281,1.37577,0.88351,0.99816,1,0.995,0.75505,0.8677,1.24411,0.96274,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,1380.62,0.9436,1.34258,0.90718,0.99827,1,0.995,0.75769,0.86964,1.21037,0.95679,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,1689.59,0.89961,1.2361,0.90088,0.99847,1,0.995,0.77472,0.85961,1.20678,0.93672,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,1760.75,0.91996,1.27407,0.88772,0.99783,1,0.995,0.76444,0.84052,1.19349,0.94567,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,1841.52,0.8675,1.20881,0.88881,0.99823,1,0.995,0.76776,0.83571,1.15407,0.93375,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,1913.6,0.91047,1.22503,0.89068,0.9975,1,0.995,0.77192,0.8259,1.1127,0.92996,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,1994.55,0.8645,1.5385,0.91435,0.99727,1,0.995,0.77128,0.83402,1.15194,0.93229,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,2066.06,0.81653,1.49669,0.90287,0.9972,1,0.995,0.7651,0.83297,1.17908,0.93513,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,2147.81,0.83094,1.5389,0.88113,0.99706,1,0.995,0.79125,0.84162,1.14504,0.93603,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,2219.69,0.83323,1.52823,0.89114,0.99733,1,0.995,0.78991,0.84056,1.12847,0.93139,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,2299.45,0.82962,1.45333,0.8929,0.99754,1,0.995,0.7773,0.83449,1.09805,0.92918,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,2370.92,0.81963,1.49283,0.88877,0.99753,1,0.995,0.78253,0.83877,1.09516,0.93132,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,2451.26,0.81386,1.44365,0.88135,0.99805,1,0.995,0.78395,0.82825,1.10011,0.92689,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,2522.58,0.81149,1.4092,0.88962,0.99808,1,0.995,0.78726,0.81669,1.09647,0.92556,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,2603.16,0.79229,1.3763,0.90205,0.9976,1,0.995,0.78977,0.81366,1.07606,0.92523,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,2675.4,0.79119,1.40151,0.8783,0.99822,1,0.995,0.77536,0.81613,1.07692,0.92643,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
