File,GT,Pred,OK
84.jpg,SGL03210,SG103210,True
167.jpg,KOS4V97,KO54V97,True
40.jpg,SBL58012,SB158012,True
155.jpg,SG526CF,SG526CF,True
64.jpg,SBE2446G,SBE24466,True
190.jpg,SPI16111,SPT16171,False
57.jpg,SK894RS,SK89AR5,False
8.jpg,ST8936T,T,False
141.jpg,S7JM7,SZ1M7,False
113.jpg,SBL63894,SB83894,False
121.jpg,SK179VE,SKT79VF,False
157.jpg,SB983FF,SB983FF,True
162.jpg,SBE46085,SBE46085,True
111.jpg,KR5CV17,KR5CT7,False
186.jpg,STA67KF,STA67KF1,True
107.jpg,SH4831C,SH4831C,True
159.jpg,SK743MW,SK743MW,True
194.jpg,ST47026,SZ47026,True
102.jpg,SZA92043,SZ492043,True
26.jpg,ST2232L,ST22321,True
91.jpg,KOS0163G,KO501636,False
2.jpg,SK028SE,SK0285E1,False
166.jpg,SL7185E,SL7185E,True
79.jpg,STA7824C,STA7824C,True
9.jpg,SM5552E,SM5552E,True
130.jpg,SK807WM,SK8076M,True
1.jpg,SCZ26114,,False
63.jpg,STA4470C,STA4470C,True
23.jpg,KOL27308,KO127308,True
43.jpg,SK321LN,SKA3211N,False
192.jpg,SMY5HP6,SMY5HP6,True
35.jpg,L45H,TV45H1,False
75.jpg,SK239WE,SK239WE,True
89.jpg,SM3106E,SM3106E,True
135.jpg,SG0580W,SG058011,False
3.jpg,SZA1837C,SZA,False
97.jpg,CB441ML,CBN441M1,False
39.jpg,SMI19778,SM19778,True
38.jpg,SZ9068J,SZ90681,True
123.jpg,SK1067S,SK10675,True
115.jpg,CRY4R84,CRY4384,True
7.jpg,SJ7912C,SZ912,False
193.jpg,SPS85295,SP585295,True
80.jpg,SR5635N,SR5635N,True
67.jpg,SZA1477F,SZA51477,True
14.jpg,SK286XX,SK286XX,True
124.jpg,SW55815,SH55815,True
147.jpg,SK145YT,SK145YT,True
37.jpg,SBE9327E,SBE9327E,True
58.jpg,STA8582C,STA8582C,True
34.jpg,SR6510F,SR65106,True
169.jpg,STAGA81,STA6A87,False
85.jpg,SCI61825,SC661825,True
145.jpg,SO7183K,SO7183K,True
132.jpg,SMY01258,SMY01258,True
142.jpg,ST5630V,ST5630W,True
153.jpg,SJ7912C,SJ7912C,True
42.jpg,SCI91903,SC91903,True
146.jpg,SK289PU,SK289P01,False
181.jpg,STA5950A,STA595N4,False
69.jpg,SK340TX,SK1340TX,True
62.jpg,SPS97077,SP597077,True
16.jpg,SL2592F,SL2592F,True
47.jpg,SBI01M5,SB01M51,True
73.jpg,STA43629,STA43629,True
20.jpg,SL2702J,SL27021,True
173.jpg,SK959YF,SK1959YF,True
45.jpg,SI87877,SZ87871,False
183.jpg,SGLWF71,SG1HF71,False
161.jpg,WBR6P58,WBR6P58,True
28.jpg,SRBKR79,SR8KR79,True
105.jpg,SJ6479A,JG479A,False
18.jpg,SL3458H,SL3458H,True
17.jpg,SCZ26114,SG726114,False
137.jpg,ST6666U,ST66661,True
41.jpg,ST0807U,ST0807U,True
188.jpg,SGLTK91,SG1TK9T,False
32.jpg,SMI03L9,SM10319,False
144.jpg,STA1392C,SIA1392C,True
182.jpg,STA2L80,STA2180,True
152.jpg,STA7109C,STA7109C,True
175.jpg,SK440AY,SK440AY,True
60.jpg,SK499VJ,SK499V1,True
46.jpg,SO8910X,SO890X,True
76.jpg,ST7803U,ST78036,True
52.jpg,SJ99531,SJ99531,True
143.jpg,SO0665L,SONAK5,False
87.jpg,SG3707Y,SG3707Y,True
51.jpg,SM3726E,SM3726E,True
29.jpg,SO5220X,SO5220X,True
55.jpg,SK3694W,GK694,False
70.jpg,SG7428J,SG7428,True
56.jpg,KR466WV,KR466H,False
92.jpg,SK192TF,SK192TF,True
119.jpg,SO6321W,SO63211,True
10.jpg,SK404XK,SK404KK,True
134.jpg,ST2105K,ST2105K,True
118.jpg,SK5682A,SK56821T,False
86.jpg,SK776ST,SK7765T,True
59.jpg,SZ9991L,SZ99911,True
