File,Detected_Plate
1.jpg,[BRAK DETEKCJI]
2.jpg,SK0285E1
3.jpg,SZA
4.jpg,SZ8055
5.jpg,SR80NP5
6.jpg,[BRAK DETEKCJI]
7.jpg,SZ912
8.jpg,T
9.jpg,SM5552E
10.jpg,SK404KK
11.jpg,SL083861
12.jpg,SK293VV
13.jpg,SL0457H
14.jpg,SK286XX
15.jpg,KO58900E
16.jpg,SL2592F
17.jpg,SG726114
18.jpg,SL3458H
19.jpg,SJ3132A
20.jpg,SL27021
21.jpg,SK131MF
22.jpg,SK9711F
23.jpg,KO127308
24.jpg,KR3UH61
25.jpg,GB3320U
26.jpg,ST22321
27.jpg,STA0211F
28.jpg,SR8KR79
29.jpg,SO5220X
30.jpg,SZ06KU4
31.jpg,SK468VU
32.jpg,SM10319
33.jpg,SKC713V1
34.jpg,SR65106
35.jpg,TV45H1
36.jpg,STA97759
37.jpg,SBE9327E
38.jpg,SZ90681
39.jpg,SM19778
40.jpg,SB158012
41.jpg,ST0807U
42.jpg,SC91903
43.jpg,SKA3211N
44.jpg,NE112852
45.jpg,SZ87871
46.jpg,SO890X
47.jpg,SB01M51
48.jpg,SO2048H
49.jpg,SG5423W
50.jpg,SO7183K
51.jpg,SM3726E
52.jpg,SJ99531
53.jpg,STACUQ
54.jpg,SZY71327
55.jpg,GK694
56.jpg,KR466H
57.jpg,SK89AR5
58.jpg,STA8582C
59.jpg,SZ99911
60.jpg,SK499V1
61.jpg,SK541K
62.jpg,SP597077
63.jpg,STA4470C
64.jpg,SBE24466
65.jpg,SG1V142
66.jpg,STA2316F
67.jpg,SZA51477
68.jpg,STA02220
69.jpg,SK1340TX
70.jpg,SG7428
71.jpg,SD5421
72.jpg,SL84590
73.jpg,STA43629
74.jpg,KM66V3
75.jpg,SK239WE
76.jpg,ST78036
77.jpg,SG986CM
78.jpg,SL3985H
79.jpg,STA7824C
80.jpg,SR5635N
81.jpg,SA
82.jpg,SO60586
83.jpg,SK59711F
84.jpg,SG103210
85.jpg,SC661825
86.jpg,SK7765T
87.jpg,SG3707Y
88.jpg,SZ061H
89.jpg,SM3106E
90.jpg,SM3726E1
91.jpg,KO501636
92.jpg,SK192TF
93.jpg,SM198X8
94.jpg,SB262FF
95.jpg,SB166094
96.jpg,SB126609
97.jpg,CBN441M1
98.jpg,SZ492043
99.jpg,CB67TM1
100.jpg,SK3211E
