File,GT,Pred,IoU,OK
59.jpg,SZ9991L,PLSZ9991LKMEC,0.79,False
156.jpg,SK8056K,PLSK8056K,0.91,False
159.jpg,SK743MW,PLSK743MWGLMCALCMAT,0.94,False
124.jpg,SW55815,6L6H55815,0.93,False
17.jpg,SCZ26114,PL5CZ26112,0.84,False
40.jpg,SBL58012,PLSBL58012BRWSDHGRUESCGQUFFEY2,0.99,False
3.jpg,SZA1837C,PL6241837CMSJESGMBH6026037870805012,0.91,False
2.jpg,SK028SE,PLSK028SE800055000AAMUTOWWMAMTOPI,0.89,False
157.jpg,SB983FF,PLSB983FF5WGICCWLGWWCGWES,0.87,False
114.jpg,SBE48JU,PLSBE48J0TOYOAKTOWICEU1KAIEJ0259322008005,0.92,False
71.jpg,SD5421J,PLSD5421JEULOYUIIC2K0EANU2S4251202020,0.9,False
86.jpg,SK776ST,PLSK776ST,0.94,False
179.jpg,SM78958,RLSM78958ZUTGDCFAMTE,0.83,False
96.jpg,SBL66094,PLSBL66094,0.9,False
172.jpg,SZA7964E,PLSZA7964WB609ATO8000331000,0.91,False
187.jpg,SZ2805M,RLSZ2805MJRKIESFOLEZIQWALANGE1551855,0.89,False
38.jpg,SZ9068J,PLSZ9068JPOMATIBUNECKI,0.95,False
148.jpg,SO68659,,0.0,False
41.jpg,ST0807U,PLST0807UUDTOVOTAJEEG616757521609LOJG62,0.99,False
18.jpg,SL3458H,PLSL3458HMZUR,0.8,False
43.jpg,SK321LN,GLSK321NT7BJEU121522017670,0.95,False
140.jpg,SH7788A,PLSH7788A,0.92,False
95.jpg,SBL66094,PLSBL66094,0.9,False
153.jpg,SJ7912C,PLSJ7912C,0.88,False
154.jpg,SG2947W,PLSG2947NRETCARAHBIG1C6150WLGJ,0.89,False
129.jpg,SBE3218G,PL5BE3218G7EEAFORMA7EDOOWIS2,0.92,False
76.jpg,ST7803U,PLST7803UPORUPAISCC77SOC,0.94,False
121.jpg,SK179VE,SK179VE642DAGU,0.84,False
101.jpg,STA0461C,PL8TA0461CQLNEREODAMROSC200202622JE3,0.88,False
45.jpg,SI87877,PL518787750028566FORSMCCHNFIEC2,0.93,False
136.jpg,SZ95471,IPLS7954712017328000LEDERAAHAFOTOHOWIUG,0.88,False
31.jpg,SK468VU,PLSK468VUB2MMCARSGRDOP,0.96,False
178.jpg,SR7916L,PLSR7916LCMIANDEMTLSO5WG222212066,0.87,False
72.jpg,SL84590,PSL84590,0.87,False
173.jpg,SK959YF,6SK959YF,0.85,False
57.jpg,SK894RS,PLSK89ARSWOCEDAKIORQ,0.92,False
138.jpg,SZO99CK,RSZ099CKRRFAMMM805ALA,0.9,False
190.jpg,SPI16111,GLSPL6M1DDIDDS,0.94,False
143(1).jpg,SO0665L,5008855,0.74,False
88.jpg,SL7061H,PLSL7061H,0.81,False
168.jpg,SG9892X,PLSG9892X,0.95,False
19.jpg,SJ3132A,PLSJ3132AINTIRAUTON0UUOW10V9I,0.91,False
29.jpg,SO5220X,PLS05220X,0.98,False
122.jpg,KTTRJ07,FLKTTRJO7,0.91,False
90.jpg,SM3726E,PLSM3726EPAP1SEF60,0.89,False
93.jpg,SMI98X8,PLSMI98X8,0.89,False
36.jpg,STA97759,PLSTA97759AUTOLACKJASIOKFE707OMUNO7790J27286690,0.95,False
188.jpg,SGLTK91,0SGLTK91,0.81,False
145.jpg,SO7183K,PLS07183K,0.92,False
132.jpg,SMY01258,PLSMY012582FI3103,0.96,False
74.jpg,KMI66V3,PKMI66V3DACTEMWMCA3,0.88,False
28.jpg,SRBKR79,PLSRBKRZ,0.92,False
176.jpg,ST7736G,PLS17736G8602822,0.86,False
184.jpg,SR8817P,PLSR8817P,0.88,False
83.jpg,SK971JF,CLSK97IFFSKOD3NOM2KATOWICO052350011,0.77,False
44.jpg,NEL28529,PLINEL28529IEKODA,0.93,False
180.jpg,SJ4104C,RLSJ4104C,0.87,False
186.jpg,STA67KF,,0.0,False
